split,run_name,scenario,n_samples,p_meas_mean_mW,p_pred_mean_mW,p_rel_err_pct,rmse_soc_pct
LOORO:20260131_230812_S1-HS-1,20260131_230812_S1-HS-1,S1-HS-1,319,1217.780708736924,1586.7716701523648,30.300279743974297,0.6591891434532375
LOORO:20260201_174510_S1-HS-2,20260201_174510_S1-HS-2,S1-HS-2,339,1103.2962390833045,1198.133416060564,8.595803522003928,0.3686308903223856
LOORO:20260201_183735_S2_b90,20260201_183735_S2_b90,S2_b90,151,1603.388382419604,1600.0782742988067,-0.20644456184734566,0.37834183512126435
LOORO:20260201_185149_S2_b150,20260201_185149_S2_b150,S2_b150,151,1673.8015393122892,1762.0689356297864,5.273468463517097,0.3616198731177967
LOORO:20260201_190712_S2_b210,20260201_190712_S2_b210,S2_b210,151,1883.1961197504281,1894.4295938865441,0.59651111311788,0.41496448282477894
LOORO:20260201_193915_S2_b30_1,20260201_193915_S2_b30_1,S2_b30_1,151,1635.9583673169138,1404.09818013971,-14.172743745152319,0.26723755041579167
LOORO:20260201_204549_S3_load_t4,20260201_204549_S3_load_t4,S3_load_t4,135,4175.206044444445,1770.415545176947,-57.596929916005635,1.3125469879744154
LOORO:20260201_213514_S4,20260201_213514_S4,S4,149,1230.9903020134227,1219.557254599632,-0.9287682766542283,0.39973723560203656
LOORO:20260201_215338_S4-1,20260201_215338_S4-1,S4-1,150,1285.6590163318483,1177.7018753898972,-8.39702748322544,0.29199522716782284
LOSO:S1-HS-1,20260131_230812_S1-HS-1,S1-HS-1,319,1217.780708736924,1586.7716701523648,30.300279743974297,0.6591891434532375
LOSO:S1-HS-2,20260201_174510_S1-HS-2,S1-HS-2,339,1103.2962390833045,1198.133416060564,8.595803522003928,0.3686308903223856
LOSO:S2_b150,20260201_185149_S2_b150,S2_b150,151,1673.8015393122892,1762.0689356297864,5.273468463517097,0.3616198731177967
LOSO:S2_b210,20260201_190712_S2_b210,S2_b210,151,1883.1961197504281,1894.4295938865441,0.59651111311788,0.41496448282477894
LOSO:S2_b30_1,20260201_193915_S2_b30_1,S2_b30_1,151,1635.9583673169138,1404.09818013971,-14.172743745152319,0.26723755041579167
LOSO:S2_b90,20260201_183735_S2_b90,S2_b90,151,1603.388382419604,1600.0782742988067,-0.20644456184734566,0.37834183512126435
LOSO:S3_load_t4,20260201_204549_S3_load_t4,S3_load_t4,135,4175.206044444445,1770.415545176947,-57.596929916005635,1.3125469879744154
LOSO:S4,20260201_213514_S4,S4,149,1230.9903020134227,1219.557254599632,-0.9287682766542283,0.39973723560203656
LOSO:S4-1,20260201_215338_S4-1,S4-1,150,1285.6590163318483,1177.7018753898972,-8.39702748322544,0.29199522716782284
