split,n_train_samples,n_test_samples,n_test_runs,power_sample_mae_mW,param_p_base_mW,param_k_screen,param_k_cpu,param_k_leak_mW,param_leak_gamma_per_C,param_leak_tref_C,param_k_gps_off_mW,param_k_cellular_off_mW,param_c_eff_mAh
LOORO:20260131_230812_S1-HS-1,1377,319,1,482.46901697579864,8.58521973914054,0.30508718678081526,9.204827482758326,188.49775014597438,0.06931471805599453,37.22845886832638,-72.56182688046194,0.0,4410.0
LOORO:20260201_174510_S1-HS-2,1357,339,1,221.15118419638665,9.525288711421323,0.46416832772257727,7.797670373700292,247.28258645160898,0.06931471805599453,40.67684742747991,-77.56034393935369,0.0,4410.0
LOORO:20260201_183735_S2_b90,1545,151,1,191.75883805058734,10.305554676671472,0.500700102212092,7.35196228133788,217.0485788173341,0.06931471805599453,37.523956315469576,-82.43399434629944,0.0,4410.0
LOORO:20260201_185149_S2_b150,1545,151,1,207.35721569043906,10.273397714437314,0.5243643300697598,7.35298026086223,217.89462219678725,0.06931471805599453,37.5980298084005,-82.37683820998126,0.0,4410.0
LOORO:20260201_190712_S2_b210,1545,151,1,221.67146740140507,9.987945871991649,0.506857614332243,7.357694944076638,217.81774216516024,0.06931471805599453,37.59613573919225,-82.35468295779151,0.0,4410.0
LOORO:20260201_193915_S2_b30_1,1545,151,1,296.75555290136396,9.285227586939868,0.49645666363483487,7.169764462965016,220.52531754864043,0.06931471805599453,37.592181872209665,-83.40725829533504,0.0,4410.0
LOORO:20260201_204549_S3_load_t4,1561,135,1,2404.7904992674967,15.113563738356135,0.5303899457288055,8.506766854123589,18.072678416610625,0.06931471805599453,37.344394613311735,-39.26609315576843,0.0,4410.0
LOORO:20260201_213514_S4,1547,149,1,201.0143493791174,11.525107335189684,0.5064849742263621,7.275533378684158,215.97147631456505,0.06931471805599453,37.33283787513283,0.0,0.0,4410.0
LOORO:20260201_215338_S4-1,1546,150,1,211.93238595490917,8.948471745736246,0.5221212205193921,7.150673372875123,217.54106267633617,0.06931471805599453,37.33243519084775,0.0,0.0,4410.0
LOSO:S1-HS-1,1377,319,1,482.46901697579864,8.58521973914054,0.30508718678081526,9.204827482758326,188.49775014597438,0.06931471805599453,37.22845886832638,-72.56182688046194,0.0,4410.0
LOSO:S1-HS-2,1357,339,1,221.15118419638665,9.525288711421323,0.46416832772257727,7.797670373700292,247.28258645160898,0.06931471805599453,40.67684742747991,-77.56034393935369,0.0,4410.0
LOSO:S2_b150,1545,151,1,207.35721569043906,10.273397714437314,0.5243643300697598,7.35298026086223,217.89462219678725,0.06931471805599453,37.5980298084005,-82.37683820998126,0.0,4410.0
LOSO:S2_b210,1545,151,1,221.67146740140507,9.987945871991649,0.506857614332243,7.357694944076638,217.81774216516024,0.06931471805599453,37.59613573919225,-82.35468295779151,0.0,4410.0
LOSO:S2_b30_1,1545,151,1,296.75555290136396,9.285227586939868,0.49645666363483487,7.169764462965016,220.52531754864043,0.06931471805599453,37.592181872209665,-83.40725829533504,0.0,4410.0
LOSO:S2_b90,1545,151,1,191.75883805058734,10.305554676671472,0.500700102212092,7.35196228133788,217.0485788173341,0.06931471805599453,37.523956315469576,-82.43399434629944,0.0,4410.0
LOSO:S3_load_t4,1561,135,1,2404.7904992674967,15.113563738356135,0.5303899457288055,8.506766854123589,18.072678416610625,0.06931471805599453,37.344394613311735,-39.26609315576843,0.0,4410.0
LOSO:S4,1547,149,1,201.0143493791174,11.525107335189684,0.5064849742263621,7.275533378684158,215.97147631456505,0.06931471805599453,37.33283787513283,0.0,0.0,4410.0
LOSO:S4-1,1546,150,1,211.93238595490917,8.948471745736246,0.5221212205193921,7.150673372875123,217.54106267633617,0.06931471805599453,37.33243519084775,0.0,0.0,4410.0
