run_name,thermal_model,t_amb_C,a_cpu_per_s,b_cpu_C_per_J,a_batt_per_s,b_couple_per_s,tau_cpu_s,tau_batt_s,leak_temp_mix_cpu
20260131_230812_S1-HS-1,1state,39.158,-0.19392664513173932,4.127676296030037,,,5.156588973736303,,
20260201_174510_S1-HS-2,1state,33.692,-0.16330321384584476,4.428190673847131,,,6.123578198185259,,
20260201_183735_S2_b90,1state,33.994,-0.3163619714904203,7.403070710010508,,,3.16093617475222,,
20260201_185149_S2_b150,1state,33.517,-0.30046970253357264,6.8347175822414785,,,3.3281225746488237,,
20260201_190712_S2_b210,1state,34.173,-0.3013562821042825,6.170296324644768,,,3.3183313552227727,,
20260201_193915_S2_b30_1,1state,34.669,-0.2778000059446952,5.396481278491326,,,3.599711946007234,,
20260201_204549_S3_load_t4,1state,71.586,-0.017600502030207077,0.07225460342690956,,,56.81656115738845,,
20260201_213514_S4,1state,40.05,-0.24388711410278824,5.899443153969515,,,4.100257628119466,,
20260201_215338_S4-1,1state,38.523,-0.22917763047932954,4.29874066997789,,,4.363427608132959,,
20260202_002928_S4,1state,41.92,-0.16449257010129414,6.216912936496866,,,6.07930193676348,,
20260202_003841_S4,1state,40.456,-0.28375287883164135,4.739438876774772,,,3.5241933196150175,,
20260202_004753_S4-1,1state,40.349,-0.2581286090325108,3.6768591549268113,,,3.874037843957281,,
20260202_005707_S4-1,1state,40.013,-0.3049444161239966,4.6634431990922485,,,3.2792861489661767,,
20260202_010635_S2_b005,1state,40.643,-0.3121995705028269,4.808611743477509,,,3.203079358467424,,
20260202_011551_S2_b010,1state,40.634,-0.29320456813982076,4.019315880765331,,,3.4105880626086593,,
20260202_012509_S2_b060,1state,39.909,-0.2957741302855316,4.212247933742257,,,3.38095829758549,,
20260202_013427_S2_b255,1state,39.801,-0.28759444286454566,4.6204448189979495,,,3.477118646798717,,
20260202_014345_S2_b30_1,1state,40.111,-0.3272230354313847,5.738862678036689,,,3.0560195698987997,,
20260202_015305_S2_b30_1,1state,39.966,-0.3624514879371267,5.340915151806857,,,2.75898991528893,,
20260202_214935_S3_load_t1,1state,40.643,-0.2653545369941402,5.213481775342161,,,3.768543064413792,,
20260202_215851_S3_load_t2,1state,41.513,-0.19637163623250156,4.9348311883349245,,,5.092385128451099,,
20260202_220816_S3_load_t4,1state,46.497,-0.1869511646414552,3.561849989529541,,,5.348990480577389,,
20260202_221733_S3_load_t6,1state,50.455,-0.25354106823343653,5.531297754620751,,,3.944134206610248,,
20260202_222646_S3_load_t8,1state,56.221,-0.21738876583472672,4.005190604759133,,,4.600053715564428,,
