scenario,n,raw_mean,raw_std,raw_min,raw_max,raw_cv,raw_ratio_max_min,adjusted_mean,adjustment_delta
S1-HS-1,1,1178.0345874504897,,1178.0345874504897,1178.0345874504897,,1.0,1138.989003113441,39.045584337048695
S1-HS-2,1,1081.6472243068583,,1081.6472243068583,1081.6472243068583,,1.0,1371.3587276626158,-289.7115033557575
S2_b005,1,1973.6307394724663,,1973.6307394724663,1973.6307394724663,,1.0,1322.68293830514,650.9478011673264
S2_b010,1,1951.759773715872,,1951.759773715872,1951.759773715872,,1.0,1878.9216883542313,72.83808536164065
S2_b060,1,1694.2692568255438,,1694.2692568255438,1694.2692568255438,,1.0,1689.6046408165048,4.664616009039037
S2_b150,1,1712.106178621009,,1712.106178621009,1712.106178621009,,1.0,1788.2205960757155,-76.11441745470665
S2_b210,1,1915.8205742711707,,1915.8205742711707,1915.8205742711707,,1.0,1831.2098367736317,84.61073749753905
S2_b255,1,2007.682696899584,,2007.682696899584,2007.682696899584,,1.0,1590.269047493438,417.4136494061461
S2_b30,1,1966.673639055992,,1966.673639055992,1966.673639055992,,1.0,2418.4346629012207,-451.7610238452287
S2_b30_1,3,1798.8384951411383,163.49927415303426,1636.7219241092089,1963.6862531235536,0.09089158064754778,1.1997677945154281,1533.578158438012,265.2603367031263
S2_b90,1,1618.7122091624246,,1618.7122091624246,1618.7122091624246,,1.0,1915.9163124606666,-297.204103298242
S3_load_t1,1,1921.9240240629333,,1921.9240240629333,1921.9240240629333,,1.0,1901.2314105979194,20.692613465013892
S3_load_t2,1,2188.2866001851,,2188.2866001851,2188.2866001851,,1.0,2100.6268256427056,87.65977454239419
S3_load_t4,2,3345.899975011569,1130.8105196376086,2546.296188338732,4145.503761684406,0.3379690152374321,1.628052455432939,1847.7435038218491,1498.15647118972
S3_load_t6,1,2995.64316705229,,2995.64316705229,2995.64316705229,,1.0,2193.8206571165492,801.822509935741
S3_load_t8,1,3550.946826931976,,3550.946826931976,3550.946826931976,,1.0,2190.256227569137,1360.6905993628388
S4,3,1720.5666412154867,477.00427255391565,1252.524975937066,2206.054819065248,0.2772367318576734,1.7612860912532355,1448.0825733837037,272.484067831783
S4-1,3,1575.5998889403054,258.11190245673504,1277.617731605738,1729.761037482647,0.16381817761508746,1.3538956095330998,1676.449011772237,-100.84912283193171
