scenario,gamma,p,n_train,train_rmse_pos_mW,beta_0,beta_1
S1-HS-1,0.06,2,19,250.13015519142823,0.06296587540889867,0.0
S1-HS-2,0.004,2,19,180.83376203810553,0.02920555653317947,0.0
S2_b005,0.004,2,19,257.41950854114924,0.07079333296590905,0.0
S2_b010,0.004,2,19,246.6685816645122,0.06681107193255358,0.0
S2_b060,0.06,2,19,250.47819857535657,0.06292189137491046,0.0
S2_b150,0.004,2,19,180.92389795002595,0.006419248428116037,0.09710082539940823
S2_b210,0.06,2,19,289.6375302086448,0.06846514966244623,0.0
S2_b255,0.06,2,19,250.35167154830089,0.06293377784732396,0.0
S2_b30_1,0.06,2,18,252.52168541145332,0.0629878327157571,0.0
S2_b90,0.004,2,19,180.91417103376108,0.011750879278732187,0.07432561613745949
S3_load_t1,0.004,2,19,256.32361147453105,0.06971444266565227,0.0
S3_load_t2,0.06,2,19,261.2849945907106,0.06316247693668153,0.0
S3_load_t4,0.004,2,19,247.48318084545252,0.0667367992132267,0.0
S3_load_t6,0.004,2,19,196.71027354307802,0.04751445839722579,0.0
S3_load_t8,0.006,2,19,135.11868538277886,0.036392244375781174,0.0
S4,0.06,2,18,257.0478289233112,0.06659083324397713,0.0
S4-1,0.06,2,18,243.90332184340647,0.06251442885861795,0.0
